class,TP,FP,FN,TN,precision,recall,specificity,f1,support
airplane,4020,1253,980,43747,0.7623743599468992,0.8039999999999998,0.9721555555555556,0.7826340893599596,5000
automobile,4350,547,650,44453,0.8882989585460485,0.8699999999999999,0.9878444444444444,0.879054258865823,5000
bird,3446,1764,1554,43236,0.6614203454894433,0.6891999999999999,0.9608,0.6750244857977371,5000
cat,3004,2387,1996,42613,0.5572250046373585,0.6007999999999999,0.9469555555555556,0.5781926667303253,5000
deer,3502,1148,1498,43852,0.7531182795698923,0.7003999999999999,0.9744888888888888,0.7258031088077906,5000
dog,3107,1503,1893,43497,0.6739696312364424,0.6213999999999998,0.9666,0.6466181061389388,5000
frog,4206,1102,794,43898,0.7923888470233609,0.8411999999999998,0.9755111111111111,0.8160651920833186,5000
horse,3674,461,1326,44539,0.8885126964933493,0.7347999999999999,0.9897555555555556,0.8043787629989569,5000
ship,4502,1238,498,43762,0.784320557491289,0.9003999999999999,0.9724888888888888,0.8383612662937294,5000
truck,4123,663,877,44337,0.8614709569577934,0.8245999999999999,0.9852666666666666,0.8426323319022182,5000
,,,,,,,,,
SUMMARY,,,,,0.7623099637391877,0.7586799999999998,,0.7588764268978798,50000
