class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;518;413;488;8581;0.5564;0.5149;0.9541;0.5348;1006
automobile;741;618;259;8382;0.5453;0.741;0.9313;0.6282;1000
bird;334;395;682;8589;0.4582;0.3287;0.956;0.3828;1016
cat;263;354;768;8615;0.4263;0.2551;0.9605;0.3192;1031
deer;361;433;623;8583;0.4547;0.3669;0.952;0.4061;984
dog;417;515;559;8509;0.4474;0.4273;0.9429;0.4371;976
frog;598;590;381;8431;0.5034;0.6108;0.9346;0.5519;979
horse;693;622;313;8372;0.527;0.6889;0.9308;0.5972;1006
ship;691;493;285;8531;0.5836;0.708;0.9454;0.6398;976
truck;546;405;480;8569;0.5741;0.5322;0.9549;0.5524;1026
;;;;;;;;;
SUMMARY;;;;;0.5076;0.5174;;0.5049;10000
