class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;683;488;323;8506;0.5833;0.6789;0.9457;0.6275;1006
automobile;768;480;232;8520;0.6154;0.768;0.9467;0.6833;1000
bird;502;553;514;8431;0.4758;0.4941;0.9384;0.4848;1016
cat;377;465;654;8504;0.4477;0.3657;0.9482;0.4026;1031
deer;445;460;539;8556;0.4917;0.4522;0.949;0.4711;984
dog;451;478;525;8546;0.4855;0.4621;0.947;0.4735;976
frog;648;440;331;8581;0.5956;0.6619;0.9512;0.627;979
horse;651;383;355;8611;0.6296;0.6471;0.9574;0.6382;1006
ship;617;307;359;8717;0.6677;0.6322;0.966;0.6495;976
truck;524;280;502;8694;0.6517;0.5107;0.9688;0.5727;1026
;;;;;;;;;
SUMMARY;;;;;0.5644;0.5673;;0.563;10000
