class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;4575;1166;425;43834;0.7969;0.915;0.9741;0.8519;5000
automobile;4726;617;274;44383;0.8845;0.9452;0.9863;0.9139;5000
bird;3656;833;1344;44167;0.8144;0.7312;0.9815;0.7706;5000
cat;3456;1867;1544;43133;0.6493;0.6912;0.9585;0.6696;5000
deer;4164;1217;836;43783;0.7738;0.8328;0.973;0.8022;5000
dog;3280;769;1720;44231;0.8101;0.656;0.9829;0.7249;5000
frog;4371;746;629;44254;0.8542;0.8742;0.9834;0.8641;5000
horse;4295;503;705;44497;0.8952;0.859;0.9888;0.8767;5000
ship;4409;380;591;44620;0.9207;0.8818;0.9916;0.9008;5000
truck;4460;510;540;44490;0.8974;0.892;0.9887;0.8947;5000
;;;;;;;;;
SUMMARY;;;;;0.8296;0.8278;;0.8269;50000
