class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;3354;697;1646;44303;0.8279;0.6708;0.9845;0.7411;5000
automobile;4132;762;868;44238;0.8443;0.8264;0.9831;0.8353;5000
bird;2585;1007;2415;43993;0.7197;0.517;0.9776;0.6017;5000
cat;2529;2169;2471;42831;0.5383;0.5058;0.9518;0.5216;5000
deer;3537;1982;1463;43018;0.6409;0.7074;0.956;0.6725;5000
dog;3394;2438;1606;42562;0.582;0.6788;0.9458;0.6267;5000
frog;3998;1204;1002;43796;0.7686;0.7996;0.9732;0.7838;5000
horse;3988;1519;1012;43481;0.7242;0.7976;0.9662;0.7591;5000
ship;4064;785;936;44215;0.8381;0.8128;0.9826;0.8253;5000
truck;4332;1524;668;43476;0.7398;0.8664;0.9661;0.7981;5000
;;;;;;;;;
SUMMARY;;;;;0.7224;0.7183;;0.7165;50000
