class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;578;185;414;8823;0.7575;0.5827;0.9795;0.6587;992
automobile;769;238;200;8793;0.7637;0.7936;0.9736;0.7783;969
bird;646;621;412;8321;0.5099;0.6106;0.9306;0.5557;1058
cat;398;361;618;8623;0.5244;0.3917;0.9598;0.4485;1016
deer;632;487;348;8533;0.5648;0.6449;0.946;0.6022;980
dog;599;515;395;8491;0.5377;0.6026;0.9428;0.5683;994
frog;810;424;186;8580;0.6564;0.8133;0.9529;0.7265;996
horse;641;136;376;8847;0.825;0.6303;0.9849;0.7146;1017
ship;801;292;207;8700;0.7328;0.7946;0.9675;0.7625;1008
truck;675;192;295;8838;0.7785;0.6959;0.9787;0.7349;970
;;;;;;;;;
SUMMARY;;;;;0.6651;0.656;;0.655;10000
