class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;543;243;449;8765;0.6908;0.5474;0.973;0.6108;992
automobile;700;434;269;8597;0.6173;0.7224;0.9519;0.6657;969
bird;581;827;477;8115;0.4126;0.5491;0.9075;0.4712;1058
cat;316;386;700;8598;0.4501;0.311;0.957;0.3679;1016
deer;384;284;596;8736;0.5749;0.3918;0.9685;0.466;980
dog;432;377;562;8629;0.534;0.4346;0.9581;0.4792;994
frog;814;821;182;8183;0.4979;0.8173;0.9088;0.6188;996
horse;543;146;474;8837;0.7881;0.5339;0.9837;0.6366;1017
ship;771;472;237;8520;0.6203;0.7649;0.9475;0.685;1008
truck;563;363;407;8667;0.608;0.5804;0.9598;0.5939;970
;;;;;;;;;
SUMMARY;;;;;0.5794;0.5653;;0.5595;10000
