class,TP,FP,FN,TN,precision,recall,specificity,f1,support
airplane,3156,774,1844,44226,0.8030534351145037,0.6311999999999999,0.9828,0.7068309070543782,5000
automobile,4283,1604,717,43396,0.7275352471547476,0.8565999999999998,0.9643555555555555,0.786809956828749,5000
bird,2988,2149,2012,42851,0.5816624489001362,0.5975999999999999,0.9522444444444444,0.5895235276704085,5000
cat,2745,2859,2255,42141,0.4898286937901498,0.5489999999999999,0.9364666666666667,0.5177291588074985,5000
deer,2667,1108,2333,43892,0.7064900662251654,0.5333999999999999,0.9753777777777778,0.6078632478627574,5000
dog,2557,1466,2443,43534,0.6355953268704945,0.5113999999999999,0.9674222222222222,0.5667738002876582,5000
frog,4111,2118,889,42882,0.6599775244822603,0.8221999999999998,0.9529333333333333,0.7322112387562963,5000
horse,3593,1168,1407,43832,0.7546733879437092,0.7185999999999999,0.9740444444444445,0.7361950619808546,5000
ship,3945,1041,1055,43959,0.7912154031287604,0.7889999999999998,0.9768666666666667,0.7901061486075511,5000
truck,3999,1669,1001,43331,0.7055398729710656,0.7997999999999998,0.9629111111111112,0.7497187851513578,5000
,,,,,,,,,
SUMMARY,,,,,0.6855571406580993,0.6808799999999998,,0.6783761833007509,50000
