class,TP,FP,FN,TN,precision,recall,specificity,f1,support
airplane,3601,1427,1399,43573,0.7161893396976928,0.7201999999999998,0.9682888888888889,0.7181890706018133,5000
automobile,3771,648,1229,44352,0.8533604887983705,0.7541999999999999,0.9856,0.8007219450042793,5000
bird,2918,2093,2082,42907,0.5823188984234683,0.5835999999999999,0.9534888888888889,0.5829587453795818,5000
cat,2449,2383,2551,42617,0.5068294701986754,0.4897999999999999,0.9470444444444445,0.49816924328672546,5000
deer,2851,1285,2149,43715,0.6893133462282397,0.5701999999999999,0.9714444444444444,0.6241243432569474,5000
dog,2788,1931,2212,43069,0.5908031362576815,0.5575999999999999,0.9570888888888889,0.5737215762933576,5000
frog,4162,2307,838,42693,0.6433761014067089,0.8323999999999998,0.9487333333333333,0.7257825442492247,5000
horse,3361,857,1639,44143,0.796823138928402,0.6721999999999999,0.9809555555555556,0.7292254285089416,5000
ship,4316,1909,684,43091,0.6933333333333332,0.8631999999999999,0.9575777777777777,0.7689977728280136,5000
truck,3853,1090,1147,43910,0.7794861420190167,0.7705999999999998,0.9757777777777777,0.7750176003213344,5000
,,,,,,,,,
SUMMARY,,,,,0.6851833395291588,0.6813999999999999,,0.6796908269730219,50000
