class,TP,FP,FN,TN,precision,recall,specificity,f1,support
airplane,3129,1521,1871,43479,0.6729032258064515,0.6257999999999999,0.9662,0.6484974093259253,5000
automobile,3610,1330,1390,43670,0.7307692307692306,0.7219999999999999,0.9704444444444444,0.72635814889286,5000
bird,2234,1849,2766,43151,0.547146705853539,0.4467999999999999,0.9589111111111112,0.49190795992463987,5000
cat,2015,2562,2985,42438,0.4402447017697181,0.4029999999999999,0.9430666666666667,0.42079983293256973,5000
deer,2282,1512,2718,43488,0.6014760147601474,0.4563999999999999,0.9664,0.5189902206044672,5000
dog,2465,2111,2535,42889,0.5386800699300698,0.4929999999999999,0.9530888888888889,0.5148287385124499,5000
frog,4051,3534,949,41466,0.5340804218852999,0.8101999999999998,0.9214666666666667,0.6437822804921709,5000
horse,3471,1831,1529,43169,0.6546586193889097,0.6941999999999999,0.9593111111111111,0.6738497379144682,5000
ship,3629,1295,1371,43705,0.7370024370430542,0.7257999999999999,0.9712222222222222,0.7313583232562512,5000
truck,3497,2072,1503,42928,0.6279403842700664,0.6993999999999999,0.9539555555555556,0.661746617465676,5000
,,,,,,,,,
SUMMARY,,,,,0.6084901811476486,0.6076599999999999,,0.6032119269321478,50000
