class,TP,FP,FN,TN,precision,recall,specificity,f1,support
airplane,2974,1444,2026,43556,0.6731552738795834,0.5947999999999999,0.9679111111111112,0.631556593756138,5000
automobile,3650,1767,1350,43233,0.6738046889422188,0.7299999999999999,0.9607333333333333,0.7007775751170968,5000
bird,1798,1343,3202,43657,0.5724291626870421,0.3595999999999999,0.9701555555555555,0.44171477705394185,5000
cat,1879,2284,3121,42716,0.4513571943310112,0.3757999999999999,0.9492444444444444,0.4101276874381159,5000
deer,2083,1573,2917,43427,0.5697483588621443,0.4165999999999999,0.9650444444444445,0.48128465804017734,5000
dog,2436,2027,2564,42973,0.5458211965045933,0.4871999999999999,0.9549555555555556,0.514847300010069,5000
frog,4143,4202,857,40798,0.49646494907130007,0.8285999999999999,0.9066222222222222,0.6209067066312285,5000
horse,3449,2122,1551,42878,0.6190989050439777,0.6897999999999999,0.9528444444444445,0.6525399678360352,5000
ship,3450,1560,1550,43440,0.6886227544910178,0.6899999999999998,0.9653333333333334,0.6893106893101891,5000
truck,3466,2350,1534,42650,0.5959422283356257,0.6931999999999999,0.9477777777777778,0.6409023668634081,5000
,,,,,,,,,
SUMMARY,,,,,0.5886444712148514,0.5865599999999999,,0.57839683220564,50000
