class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;3711;686;1289;44314;0.844;0.7422;0.9848;0.7898;5000
automobile;4139;381;861;44619;0.9157;0.8278;0.9915;0.8695;5000
bird;3555;1803;1445;43197;0.6635;0.711;0.9599;0.6864;5000
cat;2981;2293;2019;42707;0.5652;0.5962;0.949;0.5803;5000
deer;3763;1564;1237;43436;0.7064;0.7526;0.9652;0.7288;5000
dog;3056;1294;1944;43706;0.7025;0.6112;0.9712;0.6537;5000
frog;4193;1126;807;43874;0.7883;0.8386;0.975;0.8127;5000
horse;3792;652;1208;44348;0.8533;0.7584;0.9855;0.803;5000
ship;4501;1111;499;43889;0.802;0.9002;0.9753;0.8483;5000
truck;4342;1057;658;43943;0.8042;0.8684;0.9765;0.8351;5000
;;;;;;;;;
SUMMARY;;;;;0.7645;0.7607;;0.7608;50000
